major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5
Andesite / Basaltic Andesite, , , ,Rhyolite,Dacite, , , 
Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , 
Rhyolite,Trachyte / Trachydacite,Phonolite,Foidite, , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , ,Trachyte / Trachydacite, , , , 
Rhyolite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
Dacite, , , , , , , , 
Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , 
Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , 
Trachyandesite / Basaltic Trachyandesite, , , ,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , 
Trachybasalt / Tephrite Basanite,Rhyolite, , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite, , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , ,Dacite,Rhyolite, , , 
Dacite, , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , 
 , , , ,Rhyolite, , , , 
Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , 
Dacite, , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Basalt / Picro-Basalt, , , ,Foidite, , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt,Foidite, , , , , , , 
Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
 , , , , , , , , 
Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt, , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
Basalt / Picro-Basalt, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Rhyolite,Basalt / Picro-Basalt, , , , , 
Rhyolite, , , , , , , , 
Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , 
Phonolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
 , , , , , , , , 
Dacite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Phonolite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , , 
Dacite, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Rhyolite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , ,Rhyolite, , , , 
Trachyandesite / Basaltic Trachyandesite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
 , , , , , , , , 
Trachyte / Trachydacite,Rhyolite, , , , , , , 
Trachyte / Trachydacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , 
Trachyte / Trachydacite,Rhyolite,Trachyandesite / Basaltic Trachyandesite, ,Trachybasalt / Tephrite Basanite, , , , 
Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Foidite,Trachybasalt / Tephrite Basanite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Foidite, , , 
Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , 
 , , , , , , , , 
Phonolite,Trachyandesite / Basaltic Trachyandesite, , ,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Dacite, , , ,Rhyolite, , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Dacite, , , ,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , 
Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , , , 
 , , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite,Rhyolite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , 
Rhyolite,Basalt / Picro-Basalt, , ,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , 
 , , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Dacite,Basalt / Picro-Basalt, ,Trachybasalt / Tephrite Basanite, , , , 
 , , , ,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite,Rhyolite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Foidite, , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt, , , , , , 
 , , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , ,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , 
 , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, 
Phono-tephrite /  Tephri-phonolite, , , ,Trachybasalt / Tephrite Basanite, , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite, , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite,Rhyolite, , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , , , , , , 
Dacite,Rhyolite, , , , , , , 
Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , 
Rhyolite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Trachyte / Trachydacite,Rhyolite, , , , , , , 
 , , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , 
Trachybasalt / Tephrite Basanite,Foidite, , , , , , , 
 , , , ,Andesite / Basaltic Andesite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, ,Dacite, , , , 
 , , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Rhyolite, , , , , , , , 
Dacite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite,Rhyolite, , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , 
Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyte / Trachydacite, , , , 
 , , , , , , , , 
Phonolite,Trachyte / Trachydacite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , 
Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, ,Trachyandesite / Basaltic Trachyandesite, , , , 
Andesite / Basaltic Andesite,Rhyolite,Trachyte / Trachydacite, , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Rhyolite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , 
Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite, , ,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , , , , , , 
 , , , ,Rhyolite, , , , 
 , , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , 
Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , , , , 
Dacite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, ,Phono-tephrite /  Tephri-phonolite, , , , 
Trachybasalt / Tephrite Basanite,Phonolite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Foidite, , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Rhyolite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , 
Trachybasalt / Tephrite Basanite,Foidite,Trachyandesite / Basaltic Trachyandesite, , , , , , 
 , , , ,Andesite / Basaltic Andesite,Dacite, , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , 
Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , 
Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , , , 
 , , , , , , , , 
 , , , ,Dacite, , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , ,Rhyolite, , , , 
 , , , ,Dacite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite,Trachyandesite / Basaltic Trachyandesite, , , 
Dacite,Basalt / Picro-Basalt, , ,Rhyolite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Trachyte / Trachydacite, , , ,Basalt / Picro-Basalt, , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Rhyolite,Dacite, , , , , , , 
Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , 
Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Dacite, , , , 
 , , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Andesite / Basaltic Andesite,Trachyte / Trachydacite, , , , , , , 
Phono-tephrite /  Tephri-phonolite,Phonolite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , 
 , , , ,Dacite, , , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Dacite, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , , , , 
 , , , , , , , , 
 , , , ,Rhyolite,Basalt / Picro-Basalt, , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , , , 
Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Rhyolite, , , , , , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Foidite, , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Rhyolite, , , , , , , , 
 , , , , , , , , 
Phonolite, , , , , , , , 
 , , , ,Dacite, , , , 
Trachyte / Trachydacite, , , ,Basalt / Picro-Basalt, , , , 
 , , , , , , , , 
 , , , ,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , 
 , , , ,Andesite / Basaltic Andesite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , , , 
Dacite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, ,Trachyte / Trachydacite, , , , 
Rhyolite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , ,Rhyolite, , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , ,Rhyolite, , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachyte / Trachydacite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
 , , , , , , , , 
Trachyandesite / Basaltic Trachyandesite, , , ,Phonolite,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite,Phonolite, , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Andesite / Basaltic Andesite,Dacite, , ,Rhyolite, , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Andesite / Basaltic Andesite,Trachyte / Trachydacite, , , 
Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt,Foidite, , , 
 , , , , , , , , 
Rhyolite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Basalt / Picro-Basalt, , , ,Andesite / Basaltic Andesite,Rhyolite, , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Dacite,Basalt / Picro-Basalt, , , , , , 
Trachyandesite / Basaltic Trachyandesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Basalt / Picro-Basalt, , , , 
Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite, , , , , , , , 
Rhyolite,Dacite, , ,Andesite / Basaltic Andesite, , , , 
Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , 
 , , , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Foidite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Rhyolite, , , , , , , , 
Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , 
Dacite,Rhyolite, , , , , , , 
 , , , ,Andesite / Basaltic Andesite,Dacite, , , 
Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Basalt / Picro-Basalt,Phonolite,Phono-tephrite /  Tephri-phonolite, , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt,Phono-tephrite /  Tephri-phonolite, , , , , , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , 
 , , , , , , , , 
Rhyolite,Andesite / Basaltic Andesite,Dacite, , , , , , 
Dacite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite, , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
 , , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Foidite, , 
 , , , , , , , , 
Dacite, , , , , , , , 
Rhyolite, , , ,Andesite / Basaltic Andesite, , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt, , , , , , 
Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , 
 , , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Rhyolite, , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , 
Phono-tephrite /  Tephri-phonolite,Phonolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , 
Trachyte / Trachydacite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
 , , , ,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , 
Andesite / Basaltic Andesite, , , , , , , , 
Rhyolite, , , , , , , , 
Trachyte / Trachydacite,Basalt / Picro-Basalt, , ,Trachybasalt / Tephrite Basanite, , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , 
Dacite, , , , , , , , 
Dacite,Rhyolite, , ,Basalt / Picro-Basalt, , , , 
Basalt / Picro-Basalt, , , , , , , , 
Phonolite, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Rhyolite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Phonolite, , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite,Phono-tephrite /  Tephri-phonolite, , , 
Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Dacite, , , , , 
Rhyolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
